college-stub	department-stub	program-stub	college-name-short	program-name	program-url
international-and-area-studies	latin-american-studies-program	latin-american-studies-minor	International and Area Studies	Latin American Studies Program	Latin American Studies (Minor)	/international-and-area-studies/latin-american-studies-program/latin-american-studies-minor
humanities	comparative-arts-and-letters	latin-teaching-ba	Humanities	Comparative Arts and Letters	Latin Teaching (BA)	/humanities/comparative-arts-and-letters/latin-teaching-ba
humanities	comparative-arts-and-letters	latin-teaching-minor	Humanities	Comparative Arts and Letters	Latin Teaching (Minor)	/humanities/comparative-arts-and-letters/latin-teaching-minor
family-home-and-social-sciences	political-science	legal-studies-minor	Family Home and Social Sciences	Political Science	Legal Studies (Minor)	/family-home-and-social-sciences/political-science/legal-studies-minor
humanities	linguistics-and-english-language	linguistics-minor	Humanities	Linguistics and English Language	Linguistics (Minor)	/humanities/linguistics-and-english-language/linguistics-minor
humanities	linguistics-and-english-language	linguistics-ba	Humanities	Linguistics and English Language	Linguistics (BA)	/humanities/linguistics-and-english-language/linguistics-ba
humanities	philosophy	logic-minor	Humanities	Philosophy	Logic (Minor)	/humanities/philosophy/logic-minor
management	management-programs	management-minor	Management	Management Programs	Management (Minor)	/management/management-programs/management-minor
management	management-programs	management-entrepreneurship-bs	Management	Management Programs	Management: Entrepreneurship (BS)	/management/management-programs/management-entrepreneurship-bs
management	management-programs	management-general-business-bs	Management	Management Programs	Management: General Business (BS)	/management/management-programs/management-general-business-bs
management	management-programs	management-global-supply-chain-management-bs	Management	Management Programs	Management: Global Supply Chain Management (BS)	/management/management-programs/management-global-supply-chain-management-bs
management	management-programs	management-marketing-management-bs	Management	Management Programs	Management: Marketing Management (BS)	/management/management-programs/management-marketing-management-bs
management	management-programs	management-organizational-behaviorhr-mgt-bs	Management	Management Programs	Management: Organizational Behavior/HR Mgt (BS)	/management/management-programs/management-organizational-behaviorhr-mgt-bs
management	management-programs	management-strategy-bs	Management	Management Programs	Management: Strategy (BS)	/management/management-programs/management-strategy-bs
engineering-and-technology	school-of-technology	manufacturing-minor	Engineering and Technology	School of Technology	Manufacturing (Minor)	/engineering-and-technology/school-of-technology/manufacturing-minor
engineering-and-technology	school-of-technology	manufacturing-engineering-technology-bs	Engineering and Technology	School of Technology	Manufacturing Engineering Technology (BS)	/engineering-and-technology/school-of-technology/manufacturing-engineering-technology-bs
physical-and-mathematical-sciences	mathematics	mathematics-bs	Physical and Mathematical Sciences	Mathematics	Mathematics (BS)	/physical-and-mathematical-sciences/mathematics/mathematics-bs
physical-and-mathematical-sciences	mathematics	mathematics-minor	Physical and Mathematical Sciences	Mathematics	Mathematics (Minor)	/physical-and-mathematical-sciences/mathematics/mathematics-minor
physical-and-mathematical-sciences	mathematics-education	mathematics-education-bs	Physical and Mathematical Sciences	Mathematics Education	Mathematics Education (BS)	/physical-and-mathematical-sciences/mathematics-education/mathematics-education-bs
physical-and-mathematical-sciences	mathematics-education	mathematics-education-minor	Physical and Mathematical Sciences	Mathematics Education	Mathematics Education (Minor)	/physical-and-mathematical-sciences/mathematics-education/mathematics-education-minor
physical-and-mathematical-sciences	mathematics	mathematics-applied-and-computational-mathematics-bs	Physical and Mathematical Sciences	Mathematics	Mathematics: Applied and Computational Mathematics (BS)	/physical-and-mathematical-sciences/mathematics/mathematics-applied-and-computational-mathematics-bs
engineering-and-technology	mechanical-engineering	mechanical-engineering-bs	Engineering and Technology	Mechanical Engineering	Mechanical Engineering (BS)	/engineering-and-technology/mechanical-engineering/mechanical-engineering-bs
fine-arts-and-communications	theatre-and-media-arts	media-arts-studies-minor	Fine Arts and Communications	Theatre and Media Arts	Media Arts Studies (Minor)	/fine-arts-and-communications/theatre-and-media-arts/media-arts-studies-minor
fine-arts-and-communications	theatre-and-media-arts	media-arts-studies-ba	Fine Arts and Communications	Theatre and Media Arts	Media Arts Studies (BA)	/fine-arts-and-communications/theatre-and-media-arts/media-arts-studies-ba
life-sciences	microbiology-and-molecular-biology	medical-laboratory-science-bs	Life Sciences	Microbiology and Molecular Biology	Medical Laboratory Science (BS)	/life-sciences/microbiology-and-molecular-biology/medical-laboratory-science-bs
life-sciences	microbiology-and-molecular-biology	microbiology-bs	Life Sciences	Microbiology and Molecular Biology	Microbiology (BS)	/life-sciences/microbiology-and-molecular-biology/microbiology-bs
life-sciences	microbiology-and-molecular-biology	microbiology-minor	Life Sciences	Microbiology and Molecular Biology	Microbiology (Minor)	/life-sciences/microbiology-and-molecular-biology/microbiology-minor
international-and-area-studies	middle-eastern-studies-arabic-program	middle-east-studies-minor	International and Area Studies	Middle Eastern Studies - Arabic Program	Middle East Studies (Minor)	/international-and-area-studies/middle-eastern-studies-arabic-program/middle-east-studies-minor
international-and-area-studies	middle-eastern-studies-arabic-program	middle-east-studies-arabic-ba	International and Area Studies	Middle Eastern Studies - Arabic Program	Middle East Studies / Arabic (BA)	/international-and-area-studies/middle-eastern-studies-arabic-program/middle-east-studies-arabic-ba
management	military-science	military-science-minor	Management	Military Science	Military Science (Minor)	/management/military-science/military-science-minor
humanities	asian-and-near-eastern-languages	modern-hebrew-minor	Humanities	Asian and Near Eastern Languages	Modern Hebrew (Minor)	/humanities/asian-and-near-eastern-languages/modern-hebrew-minor
life-sciences	microbiology-and-molecular-biology	molecular-biology-minor	Life Sciences	Microbiology and Molecular Biology	Molecular Biology (Minor)	/life-sciences/microbiology-and-molecular-biology/molecular-biology-minor
life-sciences	microbiology-and-molecular-biology	molecular-biology-bs	Life Sciences	Microbiology and Molecular Biology	Molecular Biology (BS)	/life-sciences/microbiology-and-molecular-biology/molecular-biology-bs
fine-arts-and-communications	school-of-music	music-ba	Fine Arts and Communications	School of Music	Music (BA)	/fine-arts-and-communications/school-of-music/music-ba
fine-arts-and-communications	school-of-music	music-minor	Fine Arts and Communications	School of Music	Music (Minor)	/fine-arts-and-communications/school-of-music/music-minor
fine-arts-and-communications	school-of-music	music-composition-bm	Fine Arts and Communications	School of Music	Music Composition (BM)	/fine-arts-and-communications/school-of-music/music-composition-bm
fine-arts-and-communications	music-dance-theatre-program	music-dance-theatre-bfa	Fine Arts and Communications	Music Dance Theatre Program	Music Dance Theatre (BFA)	/fine-arts-and-communications/music-dance-theatre-program/music-dance-theatre-bfa
fine-arts-and-communications	school-of-music	music-education-k-12-choral-bm	Fine Arts and Communications	School of Music	Music Education: K-12 Choral (BM)	/fine-arts-and-communications/school-of-music/music-education-k-12-choral-bm
fine-arts-and-communications	school-of-music	music-education-k-12-general-music-bm	Fine Arts and Communications	School of Music	Music Education: K-12 General Music (BM)	/fine-arts-and-communications/school-of-music/music-education-k-12-general-music-bm
fine-arts-and-communications	school-of-music	music-education-k-12-instrumental-bm	Fine Arts and Communications	School of Music	Music Education: K-12 Instrumental (BM)	/fine-arts-and-communications/school-of-music/music-education-k-12-instrumental-bm
fine-arts-and-communications	school-of-music	music-performance-brass-bm	Fine Arts and Communications	School of Music	Music Performance: Brass (BM)	/fine-arts-and-communications/school-of-music/music-performance-brass-bm
fine-arts-and-communications	school-of-music	music-performance-combined-piano-organ-bm	Fine Arts and Communications	School of Music	Music Performance: Combined Piano & Organ (BM)	/fine-arts-and-communications/school-of-music/music-performance-combined-piano-organ-bm
fine-arts-and-communications	school-of-music	music-performance-organ-bm	Fine Arts and Communications	School of Music	Music Performance: Organ (BM)	/fine-arts-and-communications/school-of-music/music-performance-organ-bm
fine-arts-and-communications	school-of-music	music-performance-percussion-bm	Fine Arts and Communications	School of Music	Music Performance: Percussion (BM)	/fine-arts-and-communications/school-of-music/music-performance-percussion-bm
fine-arts-and-communications	school-of-music	music-performance-piano-bm	Fine Arts and Communications	School of Music	Music Performance: Piano (BM)	/fine-arts-and-communications/school-of-music/music-performance-piano-bm
fine-arts-and-communications	school-of-music	music-performance-string-bm	Fine Arts and Communications	School of Music	Music Performance: String (BM)	/fine-arts-and-communications/school-of-music/music-performance-string-bm
fine-arts-and-communications	school-of-music	music-performance-vocal-bm	Fine Arts and Communications	School of Music	Music Performance: Vocal (BM)	/fine-arts-and-communications/school-of-music/music-performance-vocal-bm
fine-arts-and-communications	school-of-music	music-performance-woodwind-bm	Fine Arts and Communications	School of Music	Music Performance: Woodwind (BM)	/fine-arts-and-communications/school-of-music/music-performance-woodwind-bm
family-home-and-social-sciences	history	native-american-studies-minor	Family Home and Social Sciences	History	Native American Studies (Minor)	/family-home-and-social-sciences/history/native-american-studies-minor
life-sciences	neuroscience-center	neuroscience-bs	Family Home and Social Sciences	Neuroscience Center	Neuroscience (BS)	/life-sciences/neuroscience-center/neuroscience-bs
management	recreation-management	nonprofit-management-minor	Management	Recreation Management	Nonprofit Management (Minor)	/management/recreation-management/nonprofit-management-minor
nursing	nursing-program	nursing-bs	Nursing	Nursing Program	Nursing (BS)	/nursing/nursing-program/nursing-bs
life-sciences	nutrition-dietetics-and-food-science	nutrition-minor	Life Sciences	Nutrition Dietetics and Food Science	Nutrition (Minor)	/life-sciences/nutrition-dietetics-and-food-science/nutrition-minor
life-sciences	nutrition-dietetics-and-food-science	nutritional-science-bs	Life Sciences	Nutrition Dietetics and Food Science	Nutritional Science (BS)	/life-sciences/nutrition-dietetics-and-food-science/nutritional-science-bs
education	teacher-education	pe-teachingcoaching-minor	Education	Teacher Education	PE Teaching/Coaching (Minor)	/education/teacher-education/pe-teachingcoaching-minor
humanities	philosophy	philosophy-ba	Humanities	Philosophy	Philosophy (BA)	/humanities/philosophy/philosophy-ba
humanities	philosophy	philosophy-minor	Humanities	Philosophy	Philosophy (Minor)	/humanities/philosophy/philosophy-minor
fine-arts-and-communications	design	photography-bfa	Fine Arts and Communications	Design	Photography (BFA)	/fine-arts-and-communications/design/photography-bfa
education	teacher-education	physical-education-tchgcoaching-k-12-bs	Education	Teacher Education	Physical Education Tchg/Coaching (K-12) (BS)	/education/teacher-education/physical-education-tchgcoaching-k-12-bs
physical-and-mathematical-sciences	physics-and-astronomy	physics-minor	Physical and Mathematical Sciences	Physics and Astronomy	Physics (Minor)	/physical-and-mathematical-sciences/physics-and-astronomy/physics-minor
physical-and-mathematical-sciences	physics-and-astronomy	physics-bs	Physical and Mathematical Sciences	Physics and Astronomy	Physics (BS)	/physical-and-mathematical-sciences/physics-and-astronomy/physics-bs
physical-and-mathematical-sciences	physics-and-astronomy	physics-teaching-bs	Physical and Mathematical Sciences	Physics and Astronomy	Physics Teaching (BS)	/physical-and-mathematical-sciences/physics-and-astronomy/physics-teaching-bs
physical-and-mathematical-sciences	physics-and-astronomy	physics-teaching-minor	Physical and Mathematical Sciences	Physics and Astronomy	Physics Teaching (Minor)	/physical-and-mathematical-sciences/physics-and-astronomy/physics-teaching-minor
physical-and-mathematical-sciences	physics-and-astronomy	physics-astronomy-bs	Physical and Mathematical Sciences	Physics and Astronomy	Physics--Astronomy (BS)	/physical-and-mathematical-sciences/physics-and-astronomy/physics-astronomy-bs
life-sciences	physiology-and-developmental-biology	physiology-developmental-biology-bs	Life Sciences	Physiology and Developmental Biology	Physiology & Developmental Biology (BS)	/life-sciences/physiology-and-developmental-biology/physiology-developmental-biology-bs
family-home-and-social-sciences	political-science	political-science-ba	Family Home and Social Sciences	Political Science	Political Science (BA)	/family-home-and-social-sciences/political-science/political-science-ba
family-home-and-social-sciences	political-science	political-science-minor	Family Home and Social Sciences	Political Science	Political Science (Minor)	/family-home-and-social-sciences/political-science/political-science-minor
family-home-and-social-sciences	political-science	political-science-teaching-minor	Family Home and Social Sciences	Political Science	Political Science Teaching (Minor)	/family-home-and-social-sciences/political-science/political-science-teaching-minor
family-home-and-social-sciences	political-science	political-strategy-minor	Family Home and Social Sciences	Political Science	Political Strategy (Minor)	/family-home-and-social-sciences/political-science/political-strategy-minor
humanities	spanish-and-portuguese	portuguese-ba	Humanities	Spanish and Portuguese	Portuguese (BA)	/humanities/spanish-and-portuguese/portuguese-ba
humanities	spanish-and-portuguese	portuguese-minor	Humanities	Spanish and Portuguese	Portuguese (Minor)	/humanities/spanish-and-portuguese/portuguese-minor
humanities	spanish-and-portuguese	portuguese-studies-secondary-major-ba	Humanities	Spanish and Portuguese	Portuguese Studies (Secondary Major) (BA)	/humanities/spanish-and-portuguese/portuguese-studies-secondary-major-ba
humanities	spanish-and-portuguese	portuguese-teaching-minor	Humanities	Spanish and Portuguese	Portuguese Teaching (Minor)	/humanities/spanish-and-portuguese/portuguese-teaching-minor
family-home-and-social-sciences	psychology	psychology-minor	Family Home and Social Sciences	Psychology	Psychology (Minor)	/family-home-and-social-sciences/psychology/psychology-minor
family-home-and-social-sciences	psychology	psychology-bs	Family Home and Social Sciences	Psychology	Psychology (BS)	/family-home-and-social-sciences/psychology/psychology-bs
family-home-and-social-sciences	psychology	psychology-teaching-minor	Family Home and Social Sciences	Psychology	Psychology Teaching (Minor)	/family-home-and-social-sciences/psychology/psychology-teaching-minor
life-sciences	health-science	public-health-environmentaloccupational-health-bs	Life Sciences	Health Science	Public Health: Environmental/Occupational Health (BS)	/life-sciences/health-science/public-health-environmentaloccupational-health-bs
life-sciences	health-science	public-health-epidemiology-bs	Life Sciences	Health Science	Public Health: Epidemiology (BS)	/life-sciences/health-science/public-health-epidemiology-bs
life-sciences	health-science	public-health-health-promotion-bs	Life Sciences	Health Science	Public Health: Health Promotion (BS)	/life-sciences/health-science/public-health-health-promotion-bs
life-sciences	health-science	public-health-health-science-bs	Life Sciences	Health Science	Public Health: Health Science (BS)	/life-sciences/health-science/public-health-health-science-bs
management	recreation-management	recreation-management-experience-industry-management-bs	Management	Recreation Management	Recreation Management: Experience Industry Management (BS)	/management/recreation-management/recreation-management-experience-industry-management-bs
management	recreation-management	recreation-management-therapeutic-recreation-bs	Management	Recreation Management	Recreation Management: Therapeutic Recreation (BS)	/management/recreation-management/recreation-management-therapeutic-recreation-bs
humanities	german-and-russian	russian-minor	Humanities	German and Russian	Russian (Minor)	/humanities/german-and-russian/russian-minor
humanities	german-and-russian	russian-ba	Humanities	German and Russian	Russian (BA)	/humanities/german-and-russian/russian-ba
humanities	german-and-russian	russian-teaching-minor	Humanities	German and Russian	Russian Teaching (Minor)	/humanities/german-and-russian/russian-teaching-minor
humanities	comparative-arts-and-letters	scandinavian-studies-minor	Humanities	Comparative Arts and Letters	Scandinavian Studies (Minor)	/humanities/comparative-arts-and-letters/scandinavian-studies-minor
life-sciences	health-science	school-health-education-minor	Life Sciences	Health Science	School Health Education (Minor)	/life-sciences/health-science/school-health-education-minor
family-home-and-social-sciences	sociology	sociology-minor	Family Home and Social Sciences	Sociology	Sociology (Minor)	/family-home-and-social-sciences/sociology/sociology-minor
family-home-and-social-sciences	sociology	sociology-bs	Family Home and Social Sciences	Sociology	Sociology (BS)	/family-home-and-social-sciences/sociology/sociology-bs
humanities	spanish-and-portuguese	spanish-ba	Humanities	Spanish and Portuguese	Spanish (BA)	/humanities/spanish-and-portuguese/spanish-ba
humanities	spanish-and-portuguese	spanish-minor	Humanities	Spanish and Portuguese	Spanish (Minor)	/humanities/spanish-and-portuguese/spanish-minor
humanities	spanish-and-portuguese	spanish-studies-secondary-major-ba	Humanities	Spanish and Portuguese	Spanish Studies (Secondary Major) (BA)	/humanities/spanish-and-portuguese/spanish-studies-secondary-major-ba
humanities	spanish-and-portuguese	spanish-teaching-minor	Humanities	Spanish and Portuguese	Spanish Teaching (Minor)	/humanities/spanish-and-portuguese/spanish-teaching-minor
humanities	spanish-and-portuguese	spanish-teaching-ba	Humanities	Spanish and Portuguese	Spanish Teaching (BA)	/humanities/spanish-and-portuguese/spanish-teaching-ba
humanities	spanish-and-portuguese	spanish-translation-ba	Humanities	Spanish and Portuguese	Spanish Translation (BA)	/humanities/spanish-and-portuguese/spanish-translation-ba
education	counseling-psychology-and-special-education	special-education-mildmoderate-disabilities-bs	Education	Counseling Psychology and Special Education	Special Education: Mild/Moderate Disabilities (BS)	/education/counseling-psychology-and-special-education/special-education-mildmoderate-disabilities-bs
education	counseling-psychology-and-special-education	special-education-severe-disabilities-bs	Education	Counseling Psychology and Special Education	Special Education: Severe Disabilities (BS)	/education/counseling-psychology-and-special-education/special-education-severe-disabilities-bs
physical-and-mathematical-sciences	statistics	statistics-minor	Physical and Mathematical Sciences	Statistics	Statistics (Minor)	/physical-and-mathematical-sciences/statistics/statistics-minor
physical-and-mathematical-sciences	statistics	statistics-applied-statistics-analytics-bs	Physical and Mathematical Sciences	Statistics	Statistics: Applied Statistics & Analytics (BS)	/physical-and-mathematical-sciences/statistics/statistics-applied-statistics-analytics-bs
physical-and-mathematical-sciences	statistics	statistics-biostatistics-bs	Physical and Mathematical Sciences	Statistics	Statistics: Biostatistics (BS)	/physical-and-mathematical-sciences/statistics/statistics-biostatistics-bs
physical-and-mathematical-sciences	statistics	statistics-statistical-science-bs	Physical and Mathematical Sciences	Statistics	Statistics: Statistical Science (BS)	/physical-and-mathematical-sciences/statistics/statistics-statistical-science-bs
management	management-programs	strategy-minor	Management	Management Programs	Strategy (Minor)	/management/management-programs/strategy-minor
humanities	linguistics-and-english-language	t-e-s-o-l-minor	Humanities	Linguistics and English Language	T E S O L (Minor)	/humanities/linguistics-and-english-language/t-e-s-o-l-minor
physical-and-mathematical-sciences	physical-science-program	teaching-physical-science-bs	Physical and Mathematical Sciences	Physical Science Program	Teaching Physical Science (BS)	/physical-and-mathematical-sciences/physical-science-program/teaching-physical-science-bs
family-home-and-social-sciences	history	teaching-social-science-bs	Family Home and Social Sciences	History	Teaching Social Science (BS)	/family-home-and-social-sciences/history/teaching-social-science-bs
engineering-and-technology	school-of-technology	technology-engineering-education-bs	Engineering and Technology	School of Technology	Technology & Engineering Education (BS)	/engineering-and-technology/school-of-technology/technology-engineering-education-bs
education	teacher-education	tesol-k-12-minor	Education	Teacher Education	TESOL K-12 (Minor)	/education/teacher-education/tesol-k-12-minor
fine-arts-and-communications	theatre-and-media-arts	theatre-arts-education-k-12-ba	Fine Arts and Communications	Theatre and Media Arts	Theatre Arts Education K-12 (BA)	/fine-arts-and-communications/theatre-and-media-arts/theatre-arts-education-k-12-ba
fine-arts-and-communications	theatre-and-media-arts	theatre-arts-studies-minor	Fine Arts and Communications	Theatre and Media Arts	Theatre Arts Studies (Minor)	/fine-arts-and-communications/theatre-and-media-arts/theatre-arts-studies-minor
fine-arts-and-communications	theatre-and-media-arts	theatre-arts-studies-ba	Fine Arts and Communications	Theatre and Media Arts	Theatre Arts Studies (BA)	/fine-arts-and-communications/theatre-and-media-arts/theatre-arts-studies-ba
humanities	philosophy	theoretical-and-applied-ethics-minor	Humanities	Philosophy	Theoretical and Applied Ethics (Minor)	/humanities/philosophy/theoretical-and-applied-ethics-minor
family-home-and-social-sciences	geography	tourism-studies-minor	Family Home and Social Sciences	Geography	Tourism Studies (Minor)	/family-home-and-social-sciences/geography/tourism-studies-minor
family-home-and-social-sciences	geography	urban-regional-planning-minor	Family Home and Social Sciences	Geography	Urban & Regional Planning (Minor)	/family-home-and-social-sciences/geography/urban-regional-planning-minor
humanities	american-studies-program	western-american-studies-minor	Humanities	American Studies Program	Western American Studies (Minor)	/humanities/american-studies-program/western-american-studies-minor
life-sciences	plant-and-wildlife-sciences	wildlife-wildlands-conservation-bs	Life Sciences	Plant and Wildlife Sciences	Wildlife & Wildlands Conservation (BS)	/life-sciences/plant-and-wildlife-sciences/wildlife-wildlands-conservation-bs
humanities	womens-studies-program	womens-studies-minor	Humanities	Women's Studies Program	Women's Studies (Minor)	/humanities/womens-studies-program/womens-studies-minor
fine-arts-and-communications	dance	world-dance-minor	Fine Arts and Communications	Dance	World Dance (Minor)	/fine-arts-and-communications/dance/world-dance-minor
humanities	english	writing-and-rhetoric-minor	Humanities	English	Writing and Rhetoric (Minor)	/humanities/english/writing-and-rhetoric-minor
